Sample,DNAmAge,Comment,noMissingPerSample,meanMethBySample,minMethBySample,maxMethBySample,corSampleVSgoldstandard,meanAbsDifferenceSampleVSgoldstandard,predictedGender,meanXchromosome
GSM989869,68.3140621492026,,0,0.270404841291626,0,0.9971184,0.967316701714447,0.056321217127118,male,0
GSM990346,46.4790619972281,,0,0.278018106083319,0,0.9971448,0.96722832868356,0.059896597182112,male,0
GSM990119,57.5641325548582,,0,0.286921806514058,0,0.9981984,0.959266772475108,0.068956953554487,male,0
GSM990462,76.8672474632518,,0,0.272597507176315,0,0.9968284,0.964395709659675,0.059283715367218,male,0
GSM990514,60.2794634198273,,0,0.269104421163509,0,0.9956453,0.969280796987408,0.055007948181851,male,0
GSM990042,67.954003837709,,0,0.276536393336067,0,0.9974259,0.966952440342266,0.059240731345159,male,0
GSM990466,73.4539749290146,,0,0.27636883608482,0,0.9963609,0.967526538464245,0.059018122222437,male,0
GSM990406,68.6835728860806,,0,0.280451988930645,0,0.9971251,0.965023958907046,0.062110128172517,male,0
GSM989828,75.9270356255542,,0,0.270001186208019,0,0.99357218,0.966982480650566,0.057609333082293,male,0
GSM989863,83.6152637341194,,0,0.265325911632959,0,0.9966214,0.967612167272736,0.055437299116373,male,0
GSM989953,70.8182339193861,,0,0.273193108714602,0,0.9964923,0.970127840354687,0.054489694649815,male,0
GSM990383,60.4630547528698,,0,0.283133688133595,0,0.9975961,0.964227261625706,0.06394029294789,male,0
GSM989952,62.1857391330991,,0,0.272137395897671,0,0.9961371,0.970094472393801,0.054960837412369,male,0
GSM990623,73.1585053093272,,0,0.291222434191316,0,0.9970647,0.966590852363655,0.064918513680213,male,0
GSM990429,79.1546355701321,,0,0.277422353921727,0,0.997495,0.961380418137433,0.064360587229956,male,0
GSM990511,58.0523199568623,,0,0.28512737680191,0,0.997544,0.963799938191017,0.064409515532679,male,0
GSM990094,61.4359140058775,,0,0.274271323562985,0,0.9973516,0.963019226501559,0.063036078567142,male,0
GSM989966,55.902800713006,,0,0.271005374340646,0,0.997004,0.970612393274094,0.054027104320293,male,0
GSM990609,58.4274587322115,,0,0.292474484706783,0,0.9967797,0.966100102904085,0.066077373931936,male,0
GSM990613,67.8412922602681,,0,0.282368191465049,0,0.9970782,0.96180830805257,0.064774634918524,male,0
GSM990614,69.7461073145576,,0,0.287367905212208,0,0.9969015,0.967269183980044,0.062791711213381,male,0
GSM990568,69.3469211973511,,0,0.282964049175507,0,0.9978767,0.964862315274771,0.063531521102179,male,0
GSM989831,64.533618636388,,0,0.278401313742194,0,0.9971023,0.96950056177125,0.057461404221078,male,0
GSM990564,71.8718458493659,,0,0.284897188521732,0,0.9972157,0.96307075841072,0.065391310360788,male,0
GSM989950,64.4048450599863,,0,0.272592814086196,0,0.9968941,0.967507399561829,0.057490601303852,male,0
GSM990033,81.0543341888658,,0,0.273381501495142,0,0.997789,0.960611787058047,0.063709116780711,male,0
GSM990023,77.8217579389106,,0,0.27322855516883,0,0.9966407,0.966709790392558,0.058538458780502,male,0
GSM990083,55.7531611731251,,0,0.274043396600464,0,0.9959041,0.969077525166387,0.057211817696059,male,0
GSM990002,66.8805796641012,,0,0.27708241966686,0,0.9957829,0.968698598961089,0.057574983309259,male,0
GSM990299,43.4939884873175,,0,0.276941540039551,0,0.9979672,0.965361121444952,0.060590333304035,male,0
GSM990389,61.9831470903034,,0,0.284070110045821,0,0.9974376,0.966951120682436,0.061787241188602,male,0
GSM990349,48.8044178294634,,0,0.282181848490383,0,0.9976258,0.966702527275553,0.061143091302148,male,0
GSM990339,51.2522693252626,,0,0.278794710462115,0,0.9975325,0.966636852918107,0.060229219618409,male,0
GSM990311,57.6898360851186,,0,0.275043103671462,0,0.9975766,0.965177658581179,0.060947957030719,male,0
GSM990411,62.0419635755079,,0,0.280128057546855,0,0.9982018,0.965694401973706,0.061701418231304,male,0
GSM989962,63.7008015582535,,0,0.273011192968138,0,0.9966088,0.97033431595512,0.05483632847494,male,0
GSM990309,54.0336855350601,,0,0.277654176436324,0,0.9974947,0.968194863376911,0.058812182543149,male,0
GSM989916,76.1976979661752,,0,0.271558403773122,0,0.996711,0.967435766675249,0.056337505503819,male,0
GSM990573,74.9798189992212,,0,0.288917221591612,0,0.9972081,0.957860123086302,0.06933509090052,male,0
GSM990014,66.2914811919371,,0,0.280707731770735,0,0.9961055,0.959673244889258,0.065830904690195,male,0
GSM990586,71.3029999490457,,0,0.285998259023342,0,0.997463,0.966263828728591,0.062583776667582,male,0
GSM990542,39.4293710358363,,0,0.279110105414061,0,0.9977841,0.970608534798913,0.056530581880544,male,0
GSM990036,76.1600390297782,,0,0.267071309541158,0,0.9976119,0.960982166573255,0.061316947406345,male,0
GSM990085,55.0622102255645,,0,0.278022860907611,0,0.9973108,0.968118891917304,0.059035416281947,male,0
GSM989846,58.8489552070826,,0,0.272095288861429,0,0.99599,0.969505877941315,0.055511891065152,male,0
GSM989935,56.5490070059966,,0,0.273928600137232,0,0.9966726,0.970100547090273,0.0549833520429,male,0
GSM990598,77.3255106328801,,0,0.289332219311059,0,0.9967895,0.965072298031102,0.065283069405613,male,0
GSM990060,71.4113889477906,,0,0.266647058445708,0,0.9965969,0.968381402196581,0.055062607720523,male,0
GSM989842,67.2796531407554,,0,0.273952925037428,0,0.996384,0.969801468502348,0.055780843437556,male,0
GSM990367,48.3005820027943,,0,0.281961508841596,0,0.9972315,0.966342857869594,0.061311200453549,male,0
GSM990292,38.6654811270709,,0,0.281393716034809,0,0.9978552,0.966258491244777,0.060948856497141,male,0
