,Sample,Age,Sex,Tissue
813,E-GEOD-36194_GSM884442,85.0,male,cerebellum
814,E-GEOD-36194_GSM884374,14.0,male,cerebellum
815,E-GEOD-36194_GSM884513,91.0,female,cerebellum
816,E-GEOD-36194_GSM884446,75.0,female,cerebellum
817,E-GEOD-36194_GSM884521,61.0,male,cerebellum
818,E-GEOD-36194_GSM884400,2.0,female,cerebellum
819,E-GEOD-36194_GSM884424,21.0,male,cerebellum
821,E-GEOD-36194_GSM884409,4.0,male,cerebellum
822,E-GEOD-36194_GSM884402,44.0,female,cerebellum
823,E-GEOD-36194_GSM884497,35.0,male,cerebellum
825,E-GEOD-36194_GSM884566,81.0,female,cerebellum
827,E-GEOD-36194_GSM884467,11.0,male,cerebellum
828,E-GEOD-36194_GSM884399,54.0,male,cerebellum
829,E-GEOD-36194_GSM884506,37.0,male,cerebellum
830,E-GEOD-36194_GSM884537,78.0,female,cerebellum
831,E-GEOD-36194_GSM884520,61.0,male,cerebellum
832,E-GEOD-36194_GSM884549,82.0,male,cerebellum
833,E-GEOD-36194_GSM884378,4.0,male,cerebellum
835,E-GEOD-36194_GSM884552,82.0,female,cerebellum
837,E-GEOD-36194_GSM884414,16.0,female,cerebellum
838,E-GEOD-36194_GSM884526,18.0,male,cerebellum
839,E-GEOD-36194_GSM884413,45.0,male,cerebellum
840,E-GEOD-36194_GSM884458,36.0,male,cerebellum
841,E-GEOD-36194_GSM884445,59.0,female,cerebellum
842,E-GEOD-36194_GSM884425,76.0,male,cerebellum
844,E-GEOD-36194_GSM884496,16.0,female,cerebellum
845,E-GEOD-36194_GSM884419,87.0,female,cerebellum
846,E-GEOD-36194_GSM884544,91.0,male,cerebellum
847,E-GEOD-36194_GSM884462,50.0,female,cerebellum
849,E-GEOD-36194_GSM884432,8.0,male,cerebellum
850,E-GEOD-36194_GSM884492,19.0,male,cerebellum
851,E-GEOD-36194_GSM884435,48.0,male,cerebellum
852,E-GEOD-36194_GSM884488,91.0,female,cerebellum
853,E-GEOD-36194_GSM884441,94.0,female,cerebellum
854,E-GEOD-36194_GSM884379,24.0,male,cerebellum
855,E-GEOD-36194_GSM884472,17.0,male,cerebellum
856,E-GEOD-36194_GSM884383,28.0,male,cerebellum
857,E-GEOD-36194_GSM884398,30.0,male,cerebellum
858,E-GEOD-36194_GSM884507,57.0,female,cerebellum
859,E-GEOD-36194_GSM884542,95.0,male,cerebellum
860,E-GEOD-36194_GSM884508,1.0,female,cerebellum
862,E-GEOD-36194_GSM884531,15.0,male,cerebellum
864,E-GEOD-36194_GSM884484,13.0,male,cerebellum
865,E-GEOD-36194_GSM884560,87.0,male,cerebellum
866,E-GEOD-36194_GSM884475,18.0,female,cerebellum
867,E-GEOD-36194_GSM884396,70.0,male,cerebellum
